,ICB984
NCIH2030,0.11427533789206726
TE9,0.11425145059754321
ONCODG1,0.11383131620140674
HS944T,0.11363641581966573
42MGBA,0.1131343227025891
SJSA1,0.11282929185005944
MIAPACA2,0.11240078781284682
A375,0.11192868511584725
C2BBE1,0.11183448796511172
CAS1,0.1113929160506658
NUGC3,0.11082084154639492
EBC1,0.1106462393732772
769P,0.11020640190908114
NCIH2122,0.10961812013594271
MEWO,0.10955934684634745
OV90,0.10946645773359916
COV504,0.10902055266296773
SH10TC,0.1086582282644357
KP2,0.10845225113299996
HSC2,0.10820238068303605
HEL9217,0.10791487194658667
HMCB,0.10757630309643239
HS840T,0.10751927352580634
NCIH1563,0.10749433722772551
MELHO,0.10749095015755648
EN,0.1074468530012617
RERFLCAI,0.10737230483727879
IGROV1,0.10706342957202096
OVMANA,0.10646476084884253
RT4,0.10624868792386453
MKN74,0.1061479506851639
NCIH2452,0.10567569954992662
GCT,0.10523107211753799
BFTC909,0.10481194783670479
RVH421,0.10435874021369992
A2058,0.10362559349074935
CAPAN2,0.10308706596693892
HCC70,0.1029258713008204
LS411N,0.10244800039887902
NCIH1793,0.1021507235260026
LN229,0.10151218562941987
NCIH2009,0.1012725010950014
SKLMS1,0.10105353478534504
CALU6,0.10102465895601331
KNS60,0.10084662915243439
SNU16,0.10071454976033122
NCIH1568,0.09951463885481862
HUPT3,0.0993119529929833
ONS76,0.09918825541583473
IALM,0.09904320350172457
UACC62,0.09886929989848149
T24,0.09881979865522252
SF295,0.09880403912823604
CAMA1,0.09876380352338074
HCC44,0.09861637518850003
NCIH1355,0.0974265499960873
NCIH28,0.09724297716283294
TE1,0.09697004964999323
RT112,0.09679896986473734
HDMYZ,0.09664135925727123
SNUC2A,0.09632069115433411
HUCCT1,0.0958762626830236
COLO320,0.09476520885378228
CORL105,0.09468154338748788
CCK81,0.09444990469779754
RPMI7951,0.09367094038048158
HS766T,0.09353459288547145
AU565,0.09343664264668818
KP3,0.09265059310542023
HEC251,0.09263491443948346
LOXIMVI,0.09236472700285198
JHH2,0.09225759607888563
HS895T,0.09216483383129032
UMUC3,0.09179041360879593
NCIH322,0.09157986830459643
HS229T,0.09142449463155411
JHH6,0.09141887657413056
MDAMB175VII,0.09056615363788881
EFO27,0.09047026175361068
LOUNH91,0.0896463467365787
KARPAS620,0.08959710690088611
PK1,0.08941341116917273
MDAMB157,0.08908564524133156
G401,0.08906951532831985
NCIH1944,0.08894919704032082
PSN1,0.08892090224900054
