,MED411
JHUEM3,0.07543856995339207
SKMEL28,0.07515723890339046
JMSU1,0.07507222291867634
CAKI1,0.07474676441402359
ACHN,0.07462127284404206
NCIH1355,0.0745237993447766
OAW42,0.0744595839121998
FU97,0.07438308964325399
NCIH2405,0.07432599156269058
MDST8,0.07424335290072466
VMCUB1,0.07395766114693428
BC3C,0.07381869171370437
TOV112D,0.0736422089403038
KYSE70,0.07355559136886275
SBC5,0.07354472814978424
SNU1214,0.07339308087102174
AGS,0.07335401081797709
SKMEL3,0.07321823333826588
PECAPJ49,0.07313172792269845
SNU668,0.07298851658586027
MELHO,0.07267637949382252
LI7,0.07239135884013224
SKOV3,0.07236899466336374
G402,0.07233467779065336
MKN1,0.07224467800470209
GCT,0.07189847447850785
HMCB,0.07189678438635194
SF539,0.07178320473364257
GOS3,0.07157033214972343
NCIH2030,0.07151272840620113
SKMEL5,0.0715123945506288
NCIH322,0.07141864599606883
MG63,0.07118838678464601
FADU,0.070064525684052
SNU738,0.07000858205008942
CW2,0.06995001146206366
8MGBA,0.06985488070990054
8305C,0.06966764341488758
OVSAHO,0.06945918847742642
PECAPJ41CLONED2,0.0690018892966869
HCC4006,0.06875795332822708
ZR751,0.06831406277912529
A375,0.06791178250874723
C2BBE1,0.06783923835563097
SNU899,0.06738703119883697
NCIH1869,0.0673110216509407
MORCPR,0.06723827680261338
ISHIKAWAHERAKLIO02ER,0.06723399425440789
OC314,0.06719775706460576
TE1,0.06716373771659252
SU8686,0.06659466015391864
NCIH520,0.06649326152867184
CMLT1,0.06641627052206729
CALU3,0.06615997616748119
TUHR4TKB,0.06613783919572346
KMH2,0.06606264523127582
VMRCRCW,0.06605821080919609
CAMA1,0.06547181425292072
NCIH1623,0.06523398044357903
PC3,0.06515439207665515
HOS,0.0649374004523229
SNUC2A,0.06493258888663135
NCIH2228,0.06475005449613085
NMCG1,0.06472288926266971
LMSU,0.06456924109373793
MELJUSO,0.06446038426654505
GMS10,0.06443217607137483
A172,0.06439417426530193
8505C,0.06421115741441061
A673,0.06406327585615862
NCIH1734,0.06397156833423169
BT474,0.06397062788834834
HCC2279,0.06376158888146928
SNU886,0.06365076135611748
