,MED2312
MALME3M,0.040750999126303346
HMC18,0.04071534391107408
MOLP8,0.04069800636844157
NCIH2122,0.0402655566637489
PANC0327,0.03989642665144828
SW1417,0.03971787110499977
U87MG,0.039712553556623814
CAMA1,0.039485887371343495
HT1080,0.03909381966702834
GMS10,0.03894740936085999
MEC1,0.03876265842252216
OVMANA,0.038677796691771106
JHH2,0.038594510429236416
J82,0.03800584199235094
EN,0.03736017674690992
OVTOKO,0.03656133582444027
MEG01,0.03627660431002513
SNU387,0.0361702620646058
SKMEL30,0.03609584186664883
HS229T,0.03562809829496011
KYSE520,0.03523988896745043
SF126,0.03504239151389617
SCC25,0.034796479857162485
KE97,0.03477505771371466
KHM1B,0.034288232326202366
NCIH2085,0.03426767367738749
OPM2,0.033846429823960654
HEC251,0.03380359229975488
NCO2,0.03380116594972668
HS840T,0.03373675905789392
NCIH1650,0.033362344444512686
NCIH2030,0.03333088535556068
MDAMB468,0.0326662929283574
SUPM2,0.03208155302502636
SCABER,0.0313531642577209
LOUNH91,0.031310060348752715
SW480,0.030715403821617665
HSC2,0.030623763050973377
HCC15,0.030438354783708346
MOLT16,0.029909550082039184
NCIH1793,0.02988167802199774
MCF7,0.02925569724972679
EBC1,0.028298840064704366
SNU449,0.028296343766881556
PLCPRF5,0.028133195057867006
PSN1,0.0281291254427564
NCIH226,0.027802856281211763
A253,0.02779856684665467
MKN74,0.02740356538577951
JHH5,0.026887771479595403
NCIH1339,0.026823942078389743
TE11,0.026692858264137528
MESSA,0.026407237834114035
TCCSUP,0.026169712837367645
BFTC909,0.02597178956917464
LUDLU1,0.02574325347640847
HS578T,0.025624451426500577
PANC0403,0.0253731264474493
G402,0.025252912181224628
GRANTA519,0.025148254124756513
MDAMB175VII,0.02441671027191876
JURKAT,0.02432224142693025
HS895T,0.024194943292796908
SH10TC,0.024062026190395942
TEN,0.023738166842130023
NCIH1355,0.023243119150533544
KYM1,0.022614054406310747
MORCPR,0.02218317843953223
LCLC103H,0.022105519068619805
JHH6,0.02208099410901714
GCT,0.021891277415777448
AMO1,0.021576525558591138
P3HR1,0.02126600184556838
KCL22,0.021228995892769303
MC116,0.021146278050217706
U937,0.020901387799668294
SNU16,0.020736776769820456
COLO320,0.02055252087832119
SW1990,0.020532016785558233
SUPT1,0.02002565228386523
NCIH2009,0.01929919966199653
EFO27,0.019055286698367625
PK45H,0.018685614088963638
TE1,0.01866601829632789
L33,0.01846629307993188
KMBC2,0.01799316137520219
CI1,0.017638385307768865
SNUC2A,0.017448197550510715
KP3,0.015370490399586002
GCIY,0.014612311860954205
GAMG,0.0141723032238812
COLO678,0.013782900823870556
BDCM,0.012832166897517282
SKMM2,0.012766020397755089
HT1197,0.012764737455048948
SU8686,0.012360446830437102
NUGC3,0.012226758226433638
SUDHL8,0.011467211716703644
L363,0.011247773968691028
RERFLCAI,0.011219470442157159
TOLEDO,0.011141315132240261
NCIH1648,0.010806656995891435
RPMI7951,0.00932327399806393
KARPAS422,0.009118499539728854
HCC70,0.009012749379188641
CAPAN2,0.008584855703231697
PC14,0.008535513471490468
CORL105,0.00813056099215422
LS123,0.007577340215443215
MDAMB435S,0.0070434575961701605
TYKNU,0.004976420195434424
HCC78,0.00457972442857962
NCIH1373,0.0045024689514355665
FU97,0.004048220710142973
HEC1B,0.0034882042682209337
JHH4,0.0032959507847270027
NCIH2452,0.0031398757037849434
HDQP1,0.002867437672208671
HCC2935,0.002401638334486321
P12ICHIKAWA,0.00223503267010293
HT,0.0022287574807374234
OV90,0.002125428130289493
RL952,0.002005752985811925
RT112,0.0017578872183615156
PATU8902,0.0016033637125083752
HS766T,0.0014761771276731728
IGROV1,0.0014400159703668056
NUGC4,0.0011973251651135233
SIGM5,0.0011546899255759548
NCIH1944,0.0004578520570397348
JHUEM2,-4.747479434362029e-06
KYSE510,-0.0003183956370671879
JM1,-0.000939915765495746
MINO,-0.00141409723535773
HCC56,-0.0015718967773190329
HCC827,-0.0020485522027838448
KG1,-0.003153578751137036
HUT78,-0.0034026480962194086
OCIAML5,-0.00411282265248029
HEC1A,-0.00417971661211534
NCIH2087,-0.004432260882132249
JVM3,-0.004706127327631515
T47D,-0.004861240775933572
DOHH2,-0.004920212484015363
KO52,-0.005147838670464638
KP2,-0.005216653235240914
SQ1,-0.005332084555879587
AU565,-0.005363534818122131
REH,-0.0053942634523660915
SKBR3,-0.006323045532937743
COLO201,-0.006323919709824221
