,MB002,COSMIC ID
cosmic_1240199,-0.40213691364061205,1240199
cosmic_909727,-0.40216193147575396,909727
cosmic_1298531,-0.4024067526075927,1298531
cosmic_907319,-0.4026147726488712,907319
cosmic_1240129,-0.4026868056073519,1240129
cosmic_908138,-0.4039673568917623,908138
cosmic_753563,-0.403975841660099,753563
cosmic_909976,-0.4039829446547465,909976
cosmic_908471,-0.40410691274568716,908471
cosmic_1330931,-0.404182776117056,1330931
cosmic_753539,-0.40419522294922167,753539
cosmic_1297447,-0.4047752957045039,1297447
cosmic_909730,-0.4048736512897696,909730
cosmic_909251,-0.40487455742726147,909251
cosmic_687815,-0.40494076610925495,687815
cosmic_1298538,-0.4054542245909432,1298538
cosmic_971774,-0.4055338640891525,971774
cosmic_910687,-0.4055418037676997,910687
cosmic_946355,-0.40566014822167146,946355
cosmic_909722,-0.40578092550018086,909722
cosmic_687787,-0.40578165422397827,687787
cosmic_724868,-0.40581681598868596,724868
cosmic_949172,-0.4062142028566083,949172
cosmic_906804,-0.4062575940249261,906804
cosmic_722058,-0.4065508429142883,722058
cosmic_949171,-0.406578047569009,949171
cosmic_907059,-0.40675877113249836,907059
cosmic_924238,-0.40756543708554677,924238
cosmic_1503362,-0.40785893130160134,1503362
cosmic_906837,-0.40798861473820136,906837
cosmic_1240185,-0.40832040191091096,1240185
cosmic_735784,-0.4083582744401532,735784
cosmic_749713,-0.4089629542835678,749713
cosmic_907055,-0.4091654404272778,907055
cosmic_906765,-0.4092128885355828,906765
cosmic_1524417,-0.4093056815610982,1524417
cosmic_1327773,-0.4093115405891948,1327773
cosmic_906807,-0.40970236077342725,906807
cosmic_907785,-0.4097438269649116,907785
cosmic_722045,-0.4099275815723286,722045
cosmic_1240168,-0.40993648047962117,1240168
cosmic_1298222,-0.4100688633483042,1298222
cosmic_910688,-0.4103321542107042,910688
cosmic_907791,-0.4103437689396397,907791
cosmic_724859,-0.41035161115396884,724859
cosmic_687800,-0.4104683203187916,687800
cosmic_1331036,-0.4104746310429798,1331036
cosmic_1331035,-0.4105313925825709,1331035
cosmic_1240217,-0.411229469956138,1240217
cosmic_907073,-0.41130573541154053,907073
cosmic_1240141,-0.4114402789090052,1240141
cosmic_749717,-0.4116372218540801,749717
cosmic_908142,-0.4117805447218916,908142
cosmic_687819,-0.41211268371883436,687819
cosmic_1240172,-0.41213418174221217,1240172
cosmic_910566,-0.41213566931544765,910566
cosmic_1240127,-0.41220474093130727,1240127
cosmic_907176,-0.41229185090116566,907176
cosmic_909721,-0.41238994278157237,909721
cosmic_753569,-0.41241574186633845,753569
cosmic_1330950,-0.4126205314972829,1330950
cosmic_910569,-0.41274540896814055,910569
cosmic_1659817,-0.41306100547122254,1659817
cosmic_908440,-0.41316486493714416,908440
cosmic_1240207,-0.4131720731082787,1240207
cosmic_909248,-0.413217346988606,909248
cosmic_949165,-0.4133844785841416,949165
cosmic_1287381,-0.41360687089625275,1287381
cosmic_1299070,-0.4136925505020044,1299070
cosmic_687514,-0.41372591990073243,687514
cosmic_687777,-0.4138074588445283,687777
cosmic_1480359,-0.41384313098307385,1480359
cosmic_1298355,-0.4141096870280207,1298355
cosmic_909249,-0.4141576913938338,909249
cosmic_687995,-0.41439255232967703,687995
cosmic_906863,-0.4144070437521763,906863
cosmic_908121,-0.4144763363719266,908121
cosmic_908476,-0.4145627198391547,908476
